,A2 sentence,B1 sentence,OR sentence
0,Am Dienstag haben die Europa-Abgeordneten eine neue Präsidentin für das EU-Parlament gewählt.,Die Europa-Abgeordneten haben am Dienstag die Malteserin Roberta Metsola zur neuen Präsidenten des Europa-Parlaments gewählt. ,Metsola ist die dritte Frau in dem prestigeträchtigen Amt und die jüngste Person überhaupt in der Geschichte des Parlaments. 
1,Es ist Roberta Metsola aus Malta.,Die Europa-Abgeordneten haben am Dienstag die Malteserin Roberta Metsola zur neuen Präsidenten des Europa-Parlaments gewählt. ,Sie folgt auf den vergangene Woche unerwartet gestorbenen italienischen Sozialdemokraten David Sassoli. 
2,"Sie ist erst die dritte Frau, die Präsidentin vom EU-Parlament wird.",Sie ist erst die 3. Frau in dieser Position und mit 43 Jahren gleichzeitig auch die jüngste Europa-Parlaments-Präsidentin überhaupt. ,"Metsola, die Europäisches Recht studiert hat, sitzt seit 2013 im EU-Parlament, seit November 2020 war sie dessen erste Vizepräsidentin. "
3,Außerdem ist sie mit 43 Jahren auch die bisher jüngste Präsidentin vom EU-Parlament.,Sie ist erst die 3. Frau in dieser Position und mit 43 Jahren gleichzeitig auch die jüngste Europa-Parlaments-Präsidentin überhaupt. ,"Metsola, die Europäisches Recht studiert hat, sitzt seit 2013 im EU-Parlament, seit November 2020 war sie dessen erste Vizepräsidentin. "
4,Vor ihr war David Sassoli aus Italien Präsident.,"Sie folgt dem Italiener David Sassoli nach, der vor einer Woche unerwartet verstarb. ",Die Europaabgeordneten in Straßburg wählten die 43-Jährige am Dienstag im ersten Wahlgang mit 458 von 616 abgegebenen gültigen Stimmen an ihre Spitze. 
5,Aber er ist vor einer Woche unerwartet gestorben.,"Sie folgt dem Italiener David Sassoli nach, der vor einer Woche unerwartet verstarb. ",
6,Metsola ist seit dem Jahr 2013 im EU-Parlament.,Metsola studierte europäisches Recht und sitzt seit 2013 im EU-Parlament. ,
7,Außerdem hat sie das europäische Recht studiert.,Metsola studierte europäisches Recht und sitzt seit 2013 im EU-Parlament. ,
8,Seit dem Jahr 2020 ist sie Vize-Präsidentin gewesen.,2020 wurde sie zur ersten Vize-Präsidentin im EU-Parlament gewählt. ,
9,US-Präsident Donald Trump will tausende US-Soldaten aus dem Land Syrien zurück holen.,Trump will Tausende US-Soldaten aus dem Land Syrien zurück holen. ,Wegen erheblicher Meinungsverschiedenheiten mit US-Präsident Donald Trump tritt Verteidigungsminister James Mattis Ende Februar zurück. 
10,"Trump denkt nämlich, dass die Terror-Organisation Islamischer Staat (IS) in Syrien besiegt ist.","Trump denkt nämlich, dass die Terror-Organisation Islamischer Staat (IS) dort endgültig besiegt ist. ",Wegen erheblicher Meinungsverschiedenheiten mit US-Präsident Donald Trump tritt Verteidigungsminister James Mattis Ende Februar zurück. 
11,Mattis wird am Ende vom Februar 2019 als Verteidigungs-Minister kündigen.,Der Verteidigungs-Minister der USA James Mattis tritt Ende Februar zurück. ,"Die Nachricht von Mattis’ Rückzug kam einen Tag nach Trumps überraschender Ankündigung, die US-Soldaten aus dem Bürgerkriegsland Syrien abzuziehen – mit der Begründung, der IS sei dort besiegt. "
12,Deshalb will Mattis nicht mehr der Verteidigungs-Minister sein.,"Als Grund dafür gab er an, dass er große Meinungs-Verschiedenheiten mit US-Präsident Donald Trump hat. ","Die Nachricht von Mattis’ Rückzug kam einen Tag nach Trumps überraschender Ankündigung, die US-Soldaten aus dem Bürgerkriegsland Syrien abzuziehen – mit der Begründung, der IS sei dort besiegt. "
13,"Der Verteidigungs-Minister der USA James Mattis denkt aber, dass der IS nicht besiegt ist.",Viele Experten und auch Mattis sind anderer Meinung. ,Mattis ist ein entschiedener Gegner dieses Schritts. Fachleute halten den IS keineswegs für besiegt und einen Abzug aus Syrien für hochgefährlich. 
14,"Mattis findet: Es ist ein Fehler, dass man die US-Soldaten zurück holt.",,Der Pentagon-Chef gab seinen Rückzug einen Tag nach Trumps Ankündigung eines vollständigen Truppenabzugs aus Syrienbekannt. 
15,In Österreich gibt es eine neue Corona-Art.,Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. ,
16,Das Gesundheits-Ministerium hat das am Montag bestätigt.,Das gab das Gesundheitsministerium bekannt. ,"“Im Gesundheitsministerium liegen jetzt sämtliche Ergebnisse vor, die es für eine Bestätigung braucht”, hieß es aus dem Ressort. "
17,Die neue Corona-Art heißt B.1.1.529.,Die neue Variante heißt B.1.1.529. ,Bei einem Fall aus Tirol handelt es sich “mit Sicherheit” um die Variante mit der wissenschaftlichen Bezeichnung B.1.1.529. 
18,Man nennt sie aber auch Omikron.,Sie wird aber auch Omikron genannt. ,Bei einem Fall aus Tirol handelt es sich “mit Sicherheit” um die Variante mit der wissenschaftlichen Bezeichnung B.1.1.529. 
19,Omikron wurde bei einem Test in Tirol festgestellt.,Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. ,
20,Die betroffene Person wurde nach einer Reise aus Süd-Afrika positiv getestet.,Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. ,"Von der Infektion betroffen sei eine Person, die nach einer Südafrika-Reise positiv auf Covid-19 getestet wurde und derzeit keine Symptome aufweise. "
21,"Weitere Verdachts-Fälle in Vorarlberg, und Oberösterreich wurden bis Montagnachmittag nicht bestätigt.",Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. ,
