,de,en
0,"Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich bin doch etwas erstaunt über das Verhalten des Kollegen Barón Crespo, der jetzt verlangt, daß dieser Tagesordnungspunkt auf die Tagesordnung für Mittwoch gesetzt wird.","Madam President, I really am quite astonished at Mr Barón Crespo' s behaviour and the fact that he is now asking for this item to be put on Wednesday's agenda."
1,"Herr Kollege Barón Crespo, Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein.","Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday."
2,"Das kritisiere ich nicht; es kommt immer mal vor, daß man sich vertreten läßt.",I am not criticising this; it happens from time to time that people send someone to represent them.
3,Der Kollege Hänsch hat Sie dort vertreten.,Mr Hänsch represented you on this occasion.
4,Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt.,"In the Conference of Presidents, we had an in-depth discussion."
5,"Nur Ihre Fraktion hat das vertreten, was Sie jetzt sagen.",Your Group was alone in advocating what you are saying now.
6,Wir haben dann abgestimmt.,We then put it to a vote.
7,"Jeder Vorsitzende bzw. jede Vorsitzende hat ja so viele Stimmen, wie die Fraktion Mitglieder hat.","As you know, each chairman has the same number of votes as his Group has Members."
8,Es gab eine Abstimmung zu diesem Punkt.,There was a vote on this matter.
9,Diese Abstimmung ist meiner Erinnerung nach so ausgegangen: 422 gegen 180 Stimmen bei einigen wenigen Enthaltungen.,"As I recall, the outcome of this vote was 422 votes to 180 with a few abstentions."
10,"Das heißt, alle Fraktionen, mit Ausnahme der Fraktionslosen - aber die sind ja keine Fraktion - waren sich einig, nur Ihre Fraktion war der Meinung, so zu verfahren, wie Sie es hier vorgeschlagen haben.","This means that all the Groups with the exception of the non-attached Members - but, of course, they are not a Group - were in agreement; only your Group thought that we should proceed as you have proposed here."
11,Alle anderen waren anderer Meinung.,All of the others were of a different opinion.
12,Das war der Beschluß.,That was the decision.
13,Jetzt möchte ich zur Sache selbst etwas sagen.,I should now like to comment on the issue itself.
14,"Wir haben Vertrauen zur Kommission, zu Romano Prodi, und die ganz große Mehrheit unserer Fraktion hat Romano Prodi und der Kommission nach einem schwierigen Prozeß, wie jeder weiß, das Vertrauen ausgesprochen.","We have confidence in the Commission and in Romano Prodi and, after a difficult procedure, as everyone knows, the vast majority of our Group supported the vote of confidence in Romano Prodi and the Commission."
15,"Aber wir sind auch der Meinung, daß wir eine Debatte über diese Strategie der Kommission in einem geordneten Verfahren führen müssen, nicht nur aufgrund einer mündlichen Erklärung hier im Europäischen Parlament, sondern auch aufgrund eines Dokumentes, das in der Kommission beschlossen ist und dieses Programm für fünf Jahre beschreibt.","We believe, however, that the Commission's strategic plan needs to be debated within a proper procedural framework, not only on the basis of an oral statement here in the European Parliament, but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period."
16,Ein solches Dokument gibt es nicht!,There is no such document!
17,Die Kommission wird das Programm für das Jahr 2000 im Februar vorlegen.,The Commission will present its programme for the year 2000 in February.
18,"Wir haben gesagt, o. k, wenn die Kommission das Programm 2000 noch nicht im Januar machen will, dann machen wir das im Februar.","We have said, very well, if the Commission does not wish to introduce the 2000 programme as early as January then we will do it in February."
19,Wir haben dem zugestimmt.,We have agreed to this.
20,"Wir wollen ja an sich keinen Streit mit der Kommission, sondern wir sind der Meinung, wenn es eben geht, müssen Kommission und Parlament einen gemeinsamen Weg gehen.","After all, we do not wish to quarrel with the Commission; if at all possible, we believe that the Commission and Parliament need to tread the same path."
21,"Aber wir als Parlament sind auch der Kontrolleur der Kommission. Und nicht alles, was von der Kommission kommt, muß unsere Meinung sein.","However, we in Parliament also have a supervisory role with regard to the Commission and we do not have to agree with everything which comes out of the Commission."
22,"Ich möchte, daß wir uns auf eine Debatte über das Fünfjahresprogramm in den Fraktionen vernünftig vorbereiten können.",I should like us to be able to do a reasonable amount of preparation for the debate on the five-year programme in our Groups.
23,"Man kann sich nicht vorbereiten, wenn man hier eine Erklärung hört und gar nicht weiß, was Inhalt einer solchen Erklärung ist.",You cannot prepare if you hear a statement in this House and have no idea of its content.
24,"Deswegen ist es unsere Empfehlung - und mein Eindruck ist, daß die Kommission auch aufgeschlossen ist für diesen Gedanken -, daß wir im Februar die Debatte über das langfristige Programm der Kommission bis zum Jahre 2005 führen - ich hoffe, die Kommission wird sich bis dahin auch auf ein Programm verständigen, das sie uns vorschlagen wird -, und daß wir gleichzeitig im Februar auch die Debatte über das Legislativprogramm der Kommission für das Jahr 2000 führen.","That is why we would recommend - and it is my impression that the Commission is also open to this idea - that we hold the debate on the Commission's long-term programme up to the year 2005 in February - and I hope that the Commission will agree on a programme before then which it will propose to us - and that, at the same time, in February we also hold the debate on the Commission's legislative programme for the year 2000."
25,"Es ist also auch ein vernünftiger sachlicher Zusammenhang, der uns rät, die Debatte über beide Programme gemeinsam zu führen.",The fact that the subjects are connected also suggests that we should hold the debate on both programmes together.
26,Deswegen lehnt meine Fraktion den Vorschlag der Sozialistischen Fraktion entschieden ab!,That is why my Group firmly rejects the proposal made by the Socialist Group.
27,(Beifall von der PPE-DE-Fraktion),(Applause from the PPE-DE Group)
28,"Frau Präsidentin, da ich bei den Sozialisten ein bißchen Gelächter höre - mir wurde gesagt, daß auch weite Kreise der Sozialistischen Fraktion diesen Tagesordnungspunkt gern abgesetzt haben wollen, weil bei der Abstimmung in der Konferenz der Präsidenten das Votum der Arbeitsgruppe der zuständigen Kolleginnen und Kollegen der Sozialistischen Fraktion nicht vorlag.","Madam President, I can hear a ripple of laughter from the Socialists. I was told that large sections of the Socialist Group were also keen to have this item taken off the agenda, because at the vote in the Conference of Presidents no vote was received from the working group of Members of the Socialist Group responsible for this matter."
29,"Ich weiß nicht, ob diese Information richtig ist, aber wir als EVP-ED-Fraktion wären jedenfalls dankbar, wenn dieser Punkt abgesetzt würde, weil sich das Parlament nämlich schon mehrfach mit dieser Frage befaßt hat.","I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already."
30,Es gibt auch Beschlüsse gegen eine solche Steuer.,Decisions have also been adopted against a tax of this kind.
31,"Deswegen beantragt meine Fraktion, diesen Punkt von der Tagesordnung abzusetzen.",That is why my Group moves that this item be taken off the agenda.
32,"Frau Präsidentin! Ich will die Debatte nicht wieder aufnehmen, aber ich hatte mich auch gemeldet, um zu dem Antrag von Herrn Barón Crespo Stellung zu nehmen.","Madam President, I do not wish to reopen the debate, but I had also asked for the floor, to comment on Mr Barón Crespo's motion."
33,Sie haben mich auch nicht aufgerufen.,You did not call me either.
34,"Ich bedauere das, aber die Abstimmung ist durchgeführt worden, die Entscheidung ist gefallen, also lassen wir die Dinge.","I regret this, but the vote has already been taken and the decision is made so let us leave the matter there."
35,"Verehrte Frau Kommissarin, verehrte Präsidentin, liebe Kolleginnen und Kollegen! Ich begrüße den Gemeinsamen Standpunkt des Rates zur Harmonisierung der Ausbildung von Sicherheitsberatern für die Beförderung gefährlicher Güter auf Straße, Schiene oder Binnenwasserstraße unumwunden.","Commissioner, Madam President, ladies and gentlemen, I can be quite frank in saying that I welcome the Council's common position on harmonising the training of safety advisers for the transport of dangerous goods by road, rail or inland waterway."
36,"Erstens: Wir mußten formal tätig werden, um den Forderungen der Richtlinie 96/35/EG gerecht zu werden, die die Mitgliedstaaten zur Einsetzung von Gefahrgutbeauftragten bzw. Sicherheitsberatern sowie zur Organisation von Ausbildung, Schulung und Prüfung eben dieser Personen verpflichtet, ohne dies explizit auszuführen.","Firstly, we needed to take action on a formal level in order to meet the requirements of Directive 96/35/EC, which obliges the Member States to appoint safety advisers and to organise the training, instruction and examination of these people but does not explain this explicitly."
37,"Zweitens: Wir erzielen mit dieser Richtlinie a) ein Mehr an Sicherheit, sowohl bei der Beförderung als auch beim Umschlag von gefährlichen Gütern; b) einen Abbau von Wettbewerbsverzerrungen infolge unterschiedlichster nationaler Ausbildungsstrukturen und Ausbildungskosten sowie c) die Herstellung der Chancengleichheit von Sicherheitsberatern auf dem europäischen Arbeitsmarkt.","Secondly, by adopting this directive we achieve a) an increase in safety when dangerous goods are both transported and transhipped; b) a reduction in distortions of competition resulting from wide variations in national training structures and training costs and c) equal opportunities for safety advisers on the European labour market."
38,"Drittens garantieren wir mit der Richtlinie, so wie sie jetzt als Gemeinsamer Standpunkt vorliegt, insbesondere da sie sich ausschließlich auf Mindestnormen beschränkt, einen hohen Flexibilitätsgrad und geringe Reglementierung durch die Europäische Union, und wir tragen zur hohen Eigenverantwortung der Mitgliedstaaten bei.","Thirdly, this directive, as it currently stands in the common position, guarantees - in particular because it confines itself exclusively to minimum standards - a high degree of flexibility and modest regulation by the European Union; by adopting it we contribute to the Member States' bearing a high level of individual responsibility."
39,All dies ist im Sinne der Subsidiarität außerordentlich zu begrüßen.,All of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed.
40,Unsere Änderungsanträge aus der ersten Lesung halte ich für sehr zufriedenstellend berücksichtigt.,"Our amendments from the first reading have, I believe, been taken into account very satisfactorily."
41,"Sie wurden übernommen, sinngemäß umgesetzt bzw. sie entfielen, weil die entsprechenden europäischen Regelungen nicht aufgenommen wurden, z. B. ein Sanktionssystem bei Verstößen oder eine komplizierte Blockbildung von Fragenkomplexen.","They have either been accepted or transposed with no change in the substance, or they have been rejected because the corresponding European arrangements have not been included, for example a system of penalties for violations of the rules or a complex classification structure for related groups of questions."
42,"Für den einen einstimmig angenommenen Änderungsantrag des Ausschusses für Regionalpolitik und Verkehr, der die zeitliche Umsetzung der Richtlinie betrifft, bitte ich um Zustimmung.","The one unanimously adopted amendment of the Committee on Regional Policy and Transport, which concerns the timetable for implementing the directive, is something which I would urge you to support."
43,"Indem wir den Mitgliedstaaten für die Umsetzung der Richtlinie kein spezifisches Datum setzen, sondern ihnen einen Zeitraum von drei Monaten nach Inkrafttreten der Richtlinie zugestehen, führen wir eine Flexibilitätsklausel ein, die eine unverzügliche Umsetzung gewährleistet.","By not setting a specific date for the Member States to implement the directive and instead giving them a period of three months after its entry into force, we are introducing a flexibility clause which ensures that the directive will be implemented without delay."
44,Ich bitte Sie um Zustimmung.,I would urge you to endorse this.
45,"Frau Präsidentin! Wir können und dürfen uns nicht damit abfinden, immer häufiger von Unfällen zu hören, bei denen auf der Straße, aber auch auf der Schiene oder auf Wasserwegen große Schäden entstehen, nicht nur, aber auch, weil die Betroffenen den Transit von gefährlichen Gütern nicht ernst genug nehmen oder weil durch Unwissen oder aufgrund mangelnder Ausbildung der Fahrer oder sonstiger Verantwortlicher für die diversen Verkehrsmittel aus einem kleinen Unfall allzu oft eine große Katastrophe geworden ist.","Madam President, we cannot and must not accept the fact that we hear ever more frequently of accidents causing major damage on our roads, but also on our railways and waterways, not solely but at least partly because those involved do not take the transport of dangerous goods seriously enough or because - as a result of ignorance or a lack of training on the part of the drivers or others responsible for the various vehicles - a minor accident has all too often become a major disaster."
46,"Mir als Österreicher, aber ich glaube, uns allen ist noch die Katastrophe in lebendiger Erinnerung, die im vergangenen Jahr im Tauerntunnel zahlreiche Menschenleben gekostet hat und wo anschließend viele Monate lang mit gigantischem finanziellem Aufwand wiederaufgebaut werden mußte, was bei diesem Brand im Tunnel zerstört worden ist.","As an Austrian, I still have a vivid memory, as, I believe, we all do, of the catastrophe which cost so many human lives last year in the Tauern Tunnel, where subsequent work to rebuild the parts of the tunnel which had been destroyed in this fire continued for many months at huge expense."
47,Die monatelange Renovierung hat diesen wichtigen Verkehrsweg zwischen dem Norden und dem Süden Europas abgeschnitten.,"The renovation project, which lasted for months, cut off this important route between the north and south of Europe."
48,Der dadurch bewirkte Umwegsverkehr hat viele Tausend EU-Bürger bis an die Grenze des Erträglichen belastet.,The traffic which had to be diverted because of this stretched the patience of many thousands of people in the EU to the limit.
49,Es war in einzelnen Gemeinden in meinem Land wirklich die Hölle los.,"In fact, all hell broke loose in some municipalities in my province."
