,fr,en
0,"Madame la Présidente, je voudrais d' abord souligner le manque de logique de M. Poettering.","Madam President, I would firstly like to point out Mr Poettering' s lack of logic."
1,"A l' instant, il vient de faire la leçon au groupe socialiste parce que celui-ci revient sur une décision qui a été prise de façon extrêmement nette en Conférence des présidents. Or, il fait la même chose.","He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents, and now he is doing just the same."
2,"Nous avons discuté, nous étions unanimes sauf le groupe PPE et le groupe libéral et j' avais même fait remarquer, vous vous en souviendrez mes chers confrères présidents, que la question n' est pas de savoir si vous êtes pour ou contre la taxe Tobin, mais de savoir si vous osez entendre ce que la Commission et le Conseil en pensent.","We discussed that matter and we were unanimous, with the exception of the PPE and ELDR Groups. As my fellow chairmen will recall, I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax, but of whether one dared to hear what the Commission and the Council thought of it."
3,Ce n' est pas demander beaucoup.,It is not a lot to ask.
4,"Donc, je réitère la proposition de maintenir cette question orale à la Commission et au Conseil pour connaître une fois pour toutes la position de ces deux instances par rapport à cette proposition relativement modeste, mais qui donnerait un signal important à l' opinion, en particulier après l' émotion suscitée par l' échec de la conférence de Seattle.","I therefore repeat the proposal that this oral question to the Commission and the Council should be retained so that we can find out, once and for all, the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion, particularly after the tide of feeling generated by the failure of the Seattle Conference."
5,"Madame la Présidente, je voudrais remercier M. Poettering pour le coup de publicité qu' il vient de donner à ce débat.","Madam President, I would like to thank Mr Poettering for advertising this debate."
6,Merci.,Thank you very much.
7,"Monsieur le Président, Monsieur le Commissaire, mes chers collègues, pendant cette minute et demie, je voudrais d'abord féliciter notre collègue Schroedter.","Mr President, Commissioner, in this minute and a half I should like, first of all, to congratulate Mrs Schroedter."
8,"Je crois que beaucoup l'ont fait déjà, mais c'est qu'elle le mérite, car elle a été particulièrement ouverte et attentive aux propositions des uns et des autres, et je pense que sa disponibilité a donné à son rapport la qualité que nous observons aujourd'hui.","I know many have already done so, but she has indeed earned our praise for being particularly open and attentive to proposals from all sides, and I think it is this openness which has given her report the quality we see today."
9,"Je m'associerai au regret qu'elle a exprimé que le Parlement ait en quelque sorte pris le train en marche concernant ces orientations, puisque la procédure de négociation avec les États est aujourd'hui à ce point avancée que l'on ne peut pas penser que ce rapport aura un impact immédiat, ce que je déplore.","I share the regrets she expressed, namely that Parliament has become involved rather late in the day as regards these guidelines, since by now the procedure for negotiations with the states is so far advanced that I cannot see this report having any sort of immediate effect, which in my view is a pity."
10,"En conséquence, il me semble qu'il doit anticiper et établir les lignes directrices de la révision à mi-parcours de 2003, voire influencer la seconde phase de programmation qui suivra 2003.","Consequently, I feel we must look to the future and establish guidelines for the mid-term review in 2003, and thus have an influence on the second phase of programming set to follow 2003."
11,"En peu de mots, je voudrais dire que nous entrons dans une période de gestion de la programmation 2000-2006, qui ne doit pas être une période de routine, pour la simple et bonne raison que nous avons deux grands défis à relever.","In brief, I would like to say that we are entering the period when we are called upon to manage the programming for 2000-2006, which must be no routine period for the good reason that we have two major challenges to face."
12,"Le premier, c'est celui de l'harmonisation des politiques d'aménagement du territoire national et des politiques de développement régional.",The first is the harmonisation of national development policies and regional development policies.
13,"Les subventions ne suffisent pas pour faire du développement, quand font défaut les infrastructures ou les services publics.",Subsidies are not enough to ensure development when infrastructure and public services are lacking.
14,C'est donc une question de fond que nous devons nous poser : comment pouvons-nous faire en sorte que la politique de l'Union s'articule avec les politiques nationales subsidiaires d'aménagement du territoire.,We must ask ourselves a fundamental question: how can we ensure that Union policy interfaces with the subsidiary national policies for regional development?
15,"Le deuxième défi est celui de l'élargissement, qui aura naturellement des conséquences considérables tant en termes budgétaires qu'en termes géographiques.","The second challenge is that of enlargement which will, of course, have a considerable impact, both in budgetary and geographical terms."
16,Voilà deux chantiers que j'invite le commissaire à mettre en uvre et auxquels je lui demande de nous associer.,These are two areas of action which I invite the Commissioner to set up and in which I would ask him to involve us.
17,"Enfin, en cette période de catastrophes naturelles, je voudrais tout de même évoquer la question de l'emploi des Fonds structurels.","Finally, in this time of natural disasters, I would just like to mention the issue of the use of Structural Funds."
18,On sait qu'il appartient à chacun des États de redistribuer une partie des enveloppes.,"As you know, it is up to each State to redistribute part of the total appropriation."
19,"Il ne faudrait pas, comme ont tendance à le vouloir les États, que l'Europe disparaisse complètement.","Europe should not be completely absent, as the states tend to want."
20,"Aujourd'hui, les opinions publiques, la presse, nous accusent d'être aux abonnés absents alors que nous allons financer une grande part des efforts nationaux.","Public opinion and the press nowadays accuse us of being unavailable to give a response, even though we are going to be funding a large proportion of the national operations."
21,Je crois qu'il faut que nous soyons capables de le dire haut et fort.,I think we should be capable of saying this loud and clear.
22,"Je pense qu'il faudrait aussi que nous instaurions ou que nous demandions aux États membres qu'ils assurent une information sur les aides européennes, chaque fois qu'elles sont mobilisées pour réparer les dégâts causés par des catastrophes naturelles ou des accidents.","I also think we should ensure, or ask Member States to ensure, that there is some publicity given to European aid whenever it is used to repair damage caused by natural disasters or accidents."
23,"Monsieur le Président, la priorité accordée aux critères financiers et monétaires renforce la montée des inégalités sous toutes les formes.","Mr President, the priority given to financial and monetary criteria reinforces the increase in inequalities of every shape and form."
24,"Pour les experts du plan français, par exemple, le scénario le plus probable est aujourd'hui un creusement des différenciations régionales à l'intérieur de chaque pays.","As far as French planning experts are concerned, for example, the most probable scenario today is that of the entrenchment of regional disparities within each country."
25,"Or, les Fonds structurels ont contribué à freiner ce processus.","Well, the Structural Funds have helped to apply a brake to this process."
26,Notre projet d'une Europe tournée vers la satisfaction des besoins sociaux vise une convergence par le haut des conditions d'existence.,Our project of a Europe that aims to satisfy social needs envisages the convergence of living conditions towards the highest common denominator.
27,Sa mise en uvre impliquerait certainement une extension d'instruments de redistribution comme les Fonds structurels.,Its implementation would certainly require extending the scope of redistribution instruments such as the Structural Funds.
28,"Nous proposons en particulier un impôt unifié sur le capital, qui permettrait d'alimenter des fonds utilisés pour accompagner l'harmonisation des systèmes de protection sociale et la réduction du temps de travail au niveau européen.","What we are proposing specifically is a unified capital tax, which would make it possible to boost the funds used to support the harmonisation of social protection systems and the reduction of working hours at European level."
29,"Or, la Commission, tenue de présenter des orientations, ne le fait qu'avec regret et de façon floue.","The Commission, however, though bound to issue guidelines, does so only reluctantly and in a vague manner."
30,Le rapport proposé aujourd'hui redonne sa place au politique.,The report put forward today re-establishes its place in the political sphere.
31,Il est un des pas vers une politique de l'emploi et du développement durable.,It is one of the steps towards a policy of employment and sustainable development.
32,C'est ceci qui nous conduira à le voter.,This is what persuades us to vote in favour of it.
33,"Monsieur le Président, Mesdames, Messieurs les Députés, je voudrais vous dire le grand intérêt que j' ai pris à écouter soigneusement les observations, parfois les critiques et suggestions que les uns et les autres vous avez fait à l' instant dans vos interventions, à partir du rapport de Mme Schroedter.","Mr President, ladies and gentlemen, I would like to express my great interest in listening carefully to the comments, occasional criticisms and suggestions that some of you have just made in your speeches with reference to Mrs Schroedter' s report."
34,"Tout le monde comprend, Madame le Rapporteur, Mesdames, Messieurs, les raisons, les délais - j' y reviendrai dans un instant - et quels que soient ces délais ou ces retards, puisque c' est maintenant que nous discutons de ce rapport, je considère, au nom de la Commission, qu' il vient au bon moment, s' agissant des orientations 2000-2006, puisque c' est en ce moment que nous débutons la nouvelle programmation régionale.","Everyone understands, Mrs Schroedter, ladies and gentlemen, the reasons and the time limits involved - and I shall come back to this point presently - and whatever the time limits or delays, since we are discussing this report right now, as the representative for the Commission, I consider that the report has been issued at an opportune moment with regard to the guidelines for 2000-2006 as it is now that we are starting the new regional programming."
35,"Madame le Rapporteur, vous avez rappelé à juste titre que s' il incombe en effet principalement aux États membres et aux régions de définir leurs propres priorités en matière de développement, le cofinancement des programmes par notre Union européenne exige, justifie qu' il soit également tenu compte des priorités communautaires telles qu' elles sont débattues et approuvées ici, afin de promouvoir cette dimension communautaire de la cohésion économique et sociale que beaucoup d' entre vous ont rappelée avec force.","Mrs Schroedter, you quite rightly pointed out that while it is chiefly up to the Member States and the regions to define their own priorities in development matters, European Union cofinancing of the programmes requires, and is the justification for, a situation where Community priorities as debated and approved in this House should also be taken into account in order to promote this Community aspect of economic and social cohesion which many of you forcefully pointed out."
36,"Aussi, Mesdames et Messieurs, aurais-je souhaité, dans un instant, revenir sur le rôle et la structure des orientations avant d' évoquer les principales remarques ou critiques que vous avez, Madame le Rapporteur, ou vous-mêmes Mesdames et Messieurs, faites les uns ou les autres.","So, ladies and gentlemen, I should like in a moment to return to the role and structure of the guidelines before mentioning the principal comments and criticisms that you, Mrs Schroedter, and the various Members of this House, have made."
37,"S' agissant du rôle et de la structure de ces orientations, M. le président Hatzidakis, Mme le rapporteur, Mme McCarthy ont rappelé que ces orientations ont pour vocation d' aider les autorités nationales et régionales dans la préparation de leur stratégie de programmation pour chacun des objectifs 1, 2, 3 des Fonds structurels ainsi que leurs liens avec le Fonds de cohésion.","Regarding the role and structure of these guidelines, Mr Hatzidakis, Mrs Schroedter and Mrs McCarthy mentioned that the purpose of these guidelines is to assist national and regional authorities in preparing their programming strategy for each of Structural Fund Objectives 1, 2 and 3 as well as their links with the Cohesion Funds."
38,"Il s' agit de présenter les priorités de la Commission, s' appuyant sur les expériences passées lors de la mise en uvre des programmes, tout autant que des politiques communautaires actuelles liées aux interventions structurelles.","This means putting forward the Commission' s priorities, based on past experience in implementing the programmes, as well as current Community policies relating to structural operations."
