,de,en,es,fr,pl
0,"Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich bin doch etwas erstaunt über das Verhalten des Kollegen Barón Crespo, der jetzt verlangt, daß dieser Tagesordnungspunkt auf die Tagesordnung für Mittwoch gesetzt wird.","Madam President, I really am quite astonished at Mr Barón Crespo' s behaviour and the fact that he is now asking for this item to be put on Wednesday's agenda.","Sra. Presidenta, la Sra. Díez González y yo mismo habíamos presentado unas preguntas sobre determinadas opiniones, reproducidas en un diario español, de la Vicepresidenta, Sra. de Palacio.","Madame la Présidente, je voudrais d' abord souligner le manque de logique de M. Poettering.","Jest propozycja aby kwotę 50.000 w szóstym paragrafie, zastąpić kwotą 40.000, tak aby nie zmieniać dotychczas obowiązujących reguł."
1,"Herr Kollege Barón Crespo, Sie konnten am letzten Donnerstag in der Konferenz der Präsidenten nicht anwesend sein.","Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday.",Los servicios competentes no las han incluido en el orden del día por considerar que ya habían sido contestadas en una sesión anterior.,"A l' instant, il vient de faire la leçon au groupe socialiste parce que celui-ci revient sur une décision qui a été prise de façon extrêmement nette en Conférence des présidents. Or, il fait la même chose.",(Oklaski)
2,"Das kritisiere ich nicht; es kommt immer mal vor, daß man sich vertreten läßt.",I am not criticising this; it happens from time to time that people send someone to represent them.,Ruego que se reconsidere esta decisión porque esto no es así.,"Nous avons discuté, nous étions unanimes sauf le groupe PPE et le groupe libéral et j' avais même fait remarquer, vous vous en souviendrez mes chers confrères présidents, que la question n' est pas de savoir si vous êtes pour ou contre la taxe Tobin, mais de savoir si vous osez entendre ce que la Commission et le Conseil en pensent.",(El Parlamento admite la enmienda oral)
3,Der Kollege Hänsch hat Sie dort vertreten.,Mr Hänsch represented you on this occasion.,"Las preguntas contestadas con anterioridad se referían a la intervención, en determinado expediente, de la Sra. de Palacio, no a esas declaraciones aparecidas en el diario ABC el 18 de noviembre pasado.",Ce n' est pas demander beaucoup.,"sprawozdawca. - Panie Przewodniczący! Pragnę poinformować Parlament, że w trakcie rozmów trójstronnych w sprawie funduszu granicznego otrzymaliśmy zapewnienie od Komisji i Rady, że zakup broni palnej z tego funduszu nie jest kwalifikowalny."
4,Wir haben in der Konferenz der Präsidenten eine ausführliche Debatte geführt.,"In the Conference of Presidents, we had an in-depth discussion.","Señora Presidenta, la presentación del programa político de la Comisión Prodi para toda la legislatura fue inicialmente una propuesta del Grupo del Partido de los Socialistas Europeos que logró la unanimidad de la Conferencia de Presidentes en septiembre y también la aceptación explícita del Presidente Prodi, que reiteró su compromiso en su discurso de investidura.","Donc, je réitère la proposition de maintenir cette question orale à la Commission et au Conseil pour connaître une fois pour toutes la position de ces deux instances par rapport à cette proposition relativement modeste, mais qui donnerait un signal important à l' opinion, en particulier après l' émotion suscitée par l' échec de la conférence de Seattle.","Oznacza to, że nie będzie można finansować z tego funduszu zakupów tego typu broni."
5,"Nur Ihre Fraktion hat das vertreten, was Sie jetzt sagen.",Your Group was alone in advocating what you are saying now.,"Tiene importancia este compromiso en la medida en que la Comisión es un organismo que tiene el monopolio de la iniciativa de acuerdo con los Tratados y, por lo tanto, configura básicamente lo que va a ser la actividad política y legislativa de este Parlamento en los próximos cincos años.","Madame la Présidente, je voudrais remercier M. Poettering pour le coup de publicité qu' il vient de donner à ce débat.",Dlatego apeluję do Parlamentu o przyjęcie poprawki kompromisowej zaznaczonej w tekście jako wniosek komisji LIBE.
6,Wir haben dann abgestimmt.,We then put it to a vote.,"Recuerdo además, señora Presidenta, que este Parlamento votó en dos ocasiones en la anterior legislatura su confianza en el Presidente Prodi; en esta legislatura la votó de nuevo en julio y después, con la nueva Comisión en funciones, volvió en septiembre a darle un voto de confianza a toda la Comisión.",Merci.,"Panie Przewodniczący! Chciałbym w sposób bardzo jednoznaczny odnieść się do sprawozdania, nad którym głosowaliśmy przedpołudniem ..."
7,"Jeder Vorsitzende bzw. jede Vorsitzende hat ja so viele Stimmen, wie die Fraktion Mitglieder hat.","As you know, each chairman has the same number of votes as his Group has Members.","Por lo tanto, ya ha habido tiempo suficiente para que la Comisión prepare su programa y para que nosotros lo podamos conocer y podamos explicárselo a los ciudadanos.","Monsieur le Président, Monsieur le Commissaire, mes chers collègues, pendant cette minute et demie, je voudrais d'abord féliciter notre collègue Schroedter.",(Przewodniczący odebrał głos mówcy).
8,Es gab eine Abstimmung zu diesem Punkt.,There was a vote on this matter.,"En este sentido recuerdo la resolución del 15 de septiembre, en la que se recomendaba que se presentara la propuesta en el plazo más breve posible.","Je crois que beaucoup l'ont fait déjà, mais c'est qu'elle le mérite, car elle a été particulièrement ouverte et attentive aux propositions des uns et des autres, et je pense que sa disponibilité a donné à son rapport la qualité que nous observons aujourd'hui.",Panie Przewodniczący! Kilka miesięcy temu Parlament Europejski przyjął rezolucję potępiającą ksenofobię i szerzący się nacjonalizm w Europie.
9,Diese Abstimmung ist meiner Erinnerung nach so ausgegangen: 422 gegen 180 Stimmen bei einigen wenigen Enthaltungen.,"As I recall, the outcome of this vote was 422 votes to 180 with a few abstentions.",Los hechos ocurridos la semana pasada -que se han originado al margen de la Conferencia de Presidentes y utilizándola sólo para corroborar y ratificar decisiones tomadas fuera de ella- plantean un dilema: o bien la Comisión no está en condiciones de presentar ese programa (en ese caso convendría que lo aclarara.,"Je m'associerai au regret qu'elle a exprimé que le Parlement ait en quelque sorte pris le train en marche concernant ces orientations, puisque la procédure de négociation avec les États est aujourd'hui à ce point avancée que l'on ne peut pas penser que ce rapport aura un impact immédiat, ce que je déplore.","W dokumencie tym niektóre kraje, w tym Polska, zostały potraktowane nad wyraz ostro, niewspółmiernie do skali problemu."
