,pl,en
0,"Jest propozycja aby kwotę 50.000 w szóstym paragrafie, zastąpić kwotą 40.000, tak aby nie zmieniać dotychczas obowiązujących reguł.",It is proposed that the sum of 50 000 in paragraph 6 be replaced by the sum of 40 000 in order to avoid changing the current rules.
1,(Oklaski),(Applause)
2,(El Parlamento admite la enmienda oral),(Parliament accepted the oral amendment)
3,"sprawozdawca. - Panie Przewodniczący! Pragnę poinformować Parlament, że w trakcie rozmów trójstronnych w sprawie funduszu granicznego otrzymaliśmy zapewnienie od Komisji i Rady, że zakup broni palnej z tego funduszu nie jest kwalifikowalny.","rapporteur. - Mr President, I would like to inform this House that during the tripartite talks on the border fund we were assured by the Commission and the Council that firearms do not qualify for purchase using this fund."
4,"Oznacza to, że nie będzie można finansować z tego funduszu zakupów tego typu broni.",It will not therefore be possible to use the fund to buy firearms.
5,Dlatego apeluję do Parlamentu o przyjęcie poprawki kompromisowej zaznaczonej w tekście jako wniosek komisji LIBE.,I therefore appeal to this House to adopt the compromise amendment referred to in the text as the LIBE Commission proposal.
6,"Panie Przewodniczący! Chciałbym w sposób bardzo jednoznaczny odnieść się do sprawozdania, nad którym głosowaliśmy przedpołudniem ...","Mr President, I would like to make an unequivocal statement concerning the report we voted on this morning."
7,(Przewodniczący odebrał głos mówcy).,(The President cut off the speaker.)
8,Panie Przewodniczący! Kilka miesięcy temu Parlament Europejski przyjął rezolucję potępiającą ksenofobię i szerzący się nacjonalizm w Europie.,"Mr President, a few months ago the European Parliament adopted a resolution condemning xenophobia and burgeoning nationalism in Europe."
9,"W dokumencie tym niektóre kraje, w tym Polska, zostały potraktowane nad wyraz ostro, niewspółmiernie do skali problemu.","The treatment meted out in that document to certain countries, including Poland, was unduly harsh and out of all proportion to the scale of the problem."
10,Oczywiście kwestie dotyczące nienawiści rasowej trzeba traktować bardzo poważnie.,Of course issues relating to racial hatred must be treated very seriously indeed.
11,"Dlatego dziwi mnie, iż Komisja Europejska nie podejmuje stanowczych działań przeciw wzrastającym w siłę w niektórych krajach partiom o charakterze faszystowskim.",That is why I am surprised that the European Commission is not taking decisive action against parties of a fascist nature that are in the ascendant in some countries.
12,Niektóre z nich mają nawet przedstawicieli pochodzących z wyborów we władzach regionalnych.,There are even countries where representatives of such parties hold elected office at regional level.
13,Bojówki tych partii maltretują na ulicach obcokrajowców oraz publicznie wzywają do rewizji granic.,Hit squads from those parties are abusing foreigners on the streets and making public appeals for borders to be revised.
14,"Jest to o tyle ważny problem, iż dotyczy w dużej części niektórych krajów tak zwanej starej Unii, które to kraje powinny już dawno poradzić sobie z tym problemem. A władze Wspólnoty wytykają nowym państwom członkowskim nawet nieznaczne incydenty.","This is a serious problem mainly affecting a number of countries of the so-called old Union. The countries concerned should have dealt with the problem long since, yet the Community's leaders are pointing the finger at the new Member States even in the case of insignificant incidents."
15,Panie Przewodniczący!,"Mr President, the Nazi invasion of Poland on 1 September 1939 was yet another act of violence perpetrated against my homeland."
