,en,de
0,"The greater the military defeats of the “Wehrmacht” in the field, the greater becomes that victory of Nazi political warfare which is so often incorrectly described as mere propaganda.","Je größer die militärischen Niederlagen der deutschen Armee im Felde werden, desto stärker macht sich der Sieg der politischen Kriegführung der Nazis, die sehr zu Unrecht oft mit bloßer Propaganda identifiziert wird, geltend."
1,"It is the central thesis of this Nazi political strategy that there is no difference between Nazis and Germans, that the people stand united behind the government, that all Allied hopes of finding part of the people uninfected ideologically and all appeals to a democractic Germany of the future are pure illusion.","Die zentrale These dieser Kriegführung, die stets sich in gleichem Maße an die »innere Front«, an das deutsche Volk selbst, wie an seine Feinde richtete, hieß, daß es einen Unterschied zwischen Nazis und Deutschen nicht gebe, daß das Volk geschlossen hinter seiner Regierung stehe, daß alle Hoffnungen der Alliierten auf ideologisch nichtinfizierte Teile des Volkes, alle Appelle an ein demokratisches Deutschland der Zukunft Illusion seien."
2,"The implication of this thesis is, of course, that there is no distinction as to responsbility, that German anti-Fascists will suffer from defeat equally with German Fascists, and that the Allies had made such distinctions at the beginning of the war only for propoganda purposes.","Die Konsequenz dieser These ist natürlich, daß es eine Teilung der Verantwortung nicht gebe, daß deutsche  Antifaschisten im selben Maße wie deutsche Faschisten von der Niederlage betroffen sein werden und daß die Alliierten Unterschiede zu Beginn des Krieges nur zum Zwecke der Propaganda gemacht hätten."
3,A further implication is that Allied provisions for punishment of war criminals will turn out to be empty threats because they find no one to whom the title of war criminal could not be applied.   ,"Die weitere Konsequenz ist, daß die alliierten Bestimmungen über die Bestrafung der Kriegsverbrecher sich als leere Drohungen deshalb erweisen werden, weil man niemanden finden wird, auf den die Definition des Kriegsverbrechers nicht zutrifft."
4,"That such claims are not mere propaganda but are supported by very real and fearful facts, we have all learned in the past seven years.","Daß diese Behauptungen nicht bloße Propaganda sind, sondern sich auf eine sehr reale Unterlage, auf eine furchtbare Wirklichkeit berufen können, haben wir alle zu unserm Schrecken in den letzten Jahren erfahren."
5,"The terror-organizations which were at first strictly separated from the mass of the people, admitting only persons who could show a criminal past or prove their preparedness to become criminals, have since been continually expanded.","Die Terrorformationen, die ursprünglich von der Masse des Volkes streng geschieden waren und in die nur Leute aufgenommen wurden, die nachweisen konnten, Verbrecher zu sein, oder bereit waren, Verbrecher zu werden, sind ständig erweitert worden."
6,The ban on party membership for members of the army has been dissolved by the general order which subordinates all soldiers to the party.,"Das Verbot der Parteizugehörigkeit von Mitgliedern der Armee ist von dem Generalbefehl, der alle Soldaten der Partei unterstellt, abgelöst worden."
7,"Whereas those crimes which have always been a part of the daily routine of concentration camps since the beginning of the Nazi regime were at first a jealously guarded monopoly of the SS and Gestapo, today members of the Wehrmacht are assigned at will to duties of mass murder.","Während die Verbrechen, die seit Beginn des Regimes in den Konzentrationslagern zur täglichen Routine gehören, früher ein eifersüchtig gehütetes Monopol der SS und der Gestapo waren, werden zu den Massenmorden heute beliebige Wehrmachtangehörige abkommandiert."
8,These crimes were at first kept secret by every possible means and any publication of such reports was made punishable as atrocity propaganda.,"Die Berichte über diese Verbrechen, welche am Anfang möglichst geheim gehalten wurden und deren Veröffentlichung als »Greuelmärchenpropaganda« unter Strafe gestellt war, wurden erst auf dem Wege der von den Nazis selbst inszenierten Flüsterpropaganda verbreitet, und sie werden heute von ihnen völlig offen als Liquidierungsmaßnahmen zugestanden, um diejenigen »Volksgenossen«, welche man aus organisatorischen Gründen nicht hat in die »Volksgemeinschaft« des Verbrechens aufnehmen können, wenigstens in die Rolle der Mitwisser und Komplizen zu drängen."
9,"Later, however, such reports were spread by Nazi-organized whispering campaigns and today these crimes are openly proclaimed under the title of “measures of liquidation” in order to force “Volksgenossen” whom difficulties of organization made it impossible to induct into the “Volksgemeinschaft” of crime at least to bear the onus of complicity and awareness of what was going on.",Die totale Mobilmachung hat in der totalen Komplizität des deutschen Volkes geendet.  
10,"These tactics resulted in a victory for the Nazis, as the Allied abandoned the distinction between Germans and Nazis.",
11,"In order to appreciate the decisive change of political conditions in Germany since the lost battle of Britain, one must note that until the war and even until the first military defeats only relatively small groups of active Nazis, among whom not even the Nazi sympathizers were included, and equally small numbers of active anti-Fascists really knew what was going on.","Um die entscheidende politische Veränderung der realen Verhältnisse, welche die Nazipropaganda seit dem Verlust der Schlacht um England begleitet und schließlich den Verzicht der Alliierten auf eine Differenzierung zwischen Deutschen und Nazis zur Folge hatte, richtig einzuschätzen, muß man sich vergegenwärtigen, daß bis zum Ausbruch des Krieges, ja bis zum Beginn der militärischen Niederlagen nur die verhältnismäßig kleinen Gruppen aktiver Nazis - zu denen noch nicht einmal die große Zahl der Sympathisierenden gehörte - und die ebenso kleine Anzahl aktiver Antifaschisten über die Vorgänge wirklich Bescheid wußten."
12,"All others, whether German or non-German, had the natural inclination to believe the statements of an official, universally recognized government rather than the charges of refugees, which, coming from Jews or Socialists, were suspect in any case.","Alle anderen - ob Deutsche oder Nicht-Deutsche - hatten die verständliche Neigung, einer offiziellen, von allen Mächten anerkannten Regierung eher zu glauben als Flüchtlingen, die als Juden oder als Sozialisten ohnehin verdächtig waren."
